p3_,p2_,p1_,p0_,g3_,g2_,g1_,g0_,cin,p_,g_,cnz,cny,cnx,simulated_leakage,estimated_leakage,% Err
0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.702286e-08,6.704209278399995e-08,0.028695856906058297
0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,8.05506e-08,8.05607374746e-08,0.0125852254359418
0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,7.354364e-08,7.355285663899998e-08,0.012532204008360515
0.0,0.0,1.1,0.0,0.0,0.0,1.1,1.1,0.0,1.099996,7.078162e-06,1.099995,3.635067e-06,3.635961e-06,8.177855e-08,8.17929810944e-08,0.01764655206041184
0.0,0.0,1.1,0.0,0.0,0.0,1.1,1.1,1.1,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,7.738998e-08,7.741327234639997e-08,0.03009736712682139
0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.708619e-08,7.71024231576e-08,0.02105845106628313
0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.007921e-08,7.009454232199996e-08,0.02187855998942117
0.0,0.0,1.1,0.0,0.0,1.1,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635961e-06,8.07055e-08,8.073081135179999e-08,0.03136261072665307
0.0,0.0,1.1,0.0,0.0,1.1,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.452973e-08,7.45597883674e-08,0.04033070749081097
0.0,0.0,1.1,0.0,0.0,1.1,1.1,0.0,0.0,1.099996,7.078162e-06,3.635416e-06,3.635416e-06,1.099995,8.264145e-08,8.266290089980001e-08,0.025956586918571688
0.0,0.0,1.1,0.0,0.0,1.1,1.1,0.0,1.1,1.099996,7.078162e-06,3.635416e-06,3.635416e-06,1.099995,7.563448e-08,7.565502006420002e-08,0.027157011193869162
0.0,0.0,1.1,0.0,0.0,1.1,1.1,1.1,0.0,1.099996,7.078162e-06,3.635416e-06,3.635067e-06,3.635961e-06,8.147767e-08,8.149899994519999e-08,0.026178884594992888
0.0,0.0,1.1,0.0,0.0,1.1,1.1,1.1,1.1,1.099996,7.078162e-06,3.635416e-06,3.635416e-06,1.099995,7.948084e-08,7.95154357716e-08,0.043527184161622524
0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.457447e-08,7.458391594299999e-08,0.01266645676461397
0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.75675e-08,6.757603510739997e-08,0.01263197158392765
0.0,0.0,1.1,0.0,1.1,0.0,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635961e-06,7.81938e-08,7.821230413719999e-08,0.023664455749684843
0.0,0.0,1.1,0.0,1.1,0.0,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.201801e-08,7.204128115279997e-08,0.032312962826894505
0.0,0.0,1.1,0.0,1.1,0.0,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,8.554576e-08,8.555992584339998e-08,0.01655937523962479
0.0,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,7.853881e-08,7.85520450078e-08,0.01685155122671514
0.0,0.0,1.1,0.0,1.1,0.0,1.1,1.1,0.0,1.099996,7.078162e-06,1.099995,3.635067e-06,3.635961e-06,8.677371e-08,8.679216946319999e-08,0.021273105875022562
0.0,0.0,1.1,0.0,1.1,0.0,1.1,1.1,1.1,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,8.238517e-08,8.241246071519998e-08,0.03312576183308511
0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.30055e-08,8.30230059574e-08,0.021090117401861123
0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.599853e-08,7.601512512179998e-08,0.021836108935241422
0.0,0.0,1.1,0.0,1.1,1.1,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635961e-06,8.662483e-08,8.665139415159998e-08,0.030665747453683213
0.0,0.0,1.1,0.0,1.1,1.1,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.044904e-08,8.048037116719999e-08,0.038945358701600694
0.0,0.0,1.1,0.0,1.1,1.1,1.1,0.0,0.0,1.099996,1.099996,3.635416e-06,3.635416e-06,1.099995,8.700112e-08,8.70241969764e-08,0.02652491875967657
0.0,0.0,1.1,0.0,1.1,1.1,1.1,0.0,1.1,1.099996,1.099996,3.635416e-06,3.635416e-06,1.099995,7.999415e-08,8.001631614079999e-08,0.027709702271964915
0.0,0.0,1.1,0.0,1.1,1.1,1.1,1.1,0.0,1.099996,1.099996,3.635416e-06,3.635067e-06,3.635961e-06,8.191728e-08,8.193792667840003e-08,0.025204301705362715
0.0,0.0,1.1,0.0,1.1,1.1,1.1,1.1,1.1,1.099996,1.099996,3.635416e-06,3.635416e-06,1.099995,7.992046e-08,7.995436250480002e-08,0.04242030739064703
0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.339115e-08,7.33974320446e-08,0.00855967592822992
0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.638416e-08,6.638955120899995e-08,0.008121228015761714
0.0,0.0,1.1,1.1,0.0,0.0,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,7.341044e-08,7.342001498840001e-08,0.013043088149325631
0.0,0.0,1.1,1.1,0.0,0.0,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,6.847513e-08,6.849171463419998e-08,0.024219938246158854
0.0,0.0,1.1,1.1,0.0,0.0,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,8.436244e-08,8.437344194500002e-08,0.0130412835380451
0.0,0.0,1.1,1.1,0.0,0.0,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,7.735546e-08,7.736556110940001e-08,0.013058043220241358
0.0,0.0,1.1,1.1,0.0,0.0,1.1,1.1,0.0,1.099996,7.078162e-06,1.099995,3.635067e-06,3.635067e-06,7.80703e-08,7.807751097100002e-08,0.00923650991480702
0.0,0.0,1.1,1.1,0.0,0.0,1.1,1.1,1.1,1.099996,7.078162e-06,1.099995,3.635067e-06,3.635416e-06,7.55266e-08,7.55453551912e-08,0.024832563891396018
0.0,0.0,1.1,1.1,0.0,1.1,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.089802e-08,8.091512762800001e-08,0.02114715292168838
0.0,0.0,1.1,1.1,0.0,1.1,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.389105e-08,7.390724679240002e-08,0.021919829803489842
0.0,0.0,1.1,1.1,0.0,1.1,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,8.091733e-08,8.093771057180002e-08,0.025186905944645437
0.0,0.0,1.1,1.1,0.0,1.1,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,7.5982e-08,7.600941021760002e-08,0.03607461977839541
0.0,0.0,1.1,1.1,0.0,1.1,1.1,0.0,0.0,1.099996,7.078162e-06,3.635416e-06,3.635416e-06,1.099995,8.645329e-08,8.647560537020002e-08,0.025812054347514324
0.0,0.0,1.1,1.1,0.0,1.1,1.1,0.0,1.1,1.099996,7.078162e-06,3.635416e-06,3.635416e-06,1.099995,7.944631e-08,7.94677245346e-08,0.026954725272960157
0.0,0.0,1.1,1.1,0.0,1.1,1.1,1.1,0.0,1.099996,7.078162e-06,3.635067e-06,3.635067e-06,3.635067e-06,7.445392e-08,7.44659908164e-08,0.016212465911806324
0.0,0.0,1.1,1.1,0.0,1.1,1.1,1.1,1.1,1.099996,7.078162e-06,3.635067e-06,3.635067e-06,3.635416e-06,7.430194e-08,7.432997961100001e-08,0.0377373874760264
0.0,0.0,1.1,1.1,1.1,0.0,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.838631e-08,7.83966204134e-08,0.013153334300338233
0.0,0.0,1.1,1.1,1.1,0.0,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.137933e-08,7.138873957779999e-08,0.013182496669539433
0.0,0.0,1.1,1.1,1.1,0.0,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,7.840562e-08,7.84192033572e-08,0.017324468832718588
0.0,0.0,1.1,1.1,1.1,0.0,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,7.347031e-08,7.349090300300002e-08,0.028029013352498317
0.0,0.0,1.1,1.1,1.1,0.0,1.1,0.0,0.0,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,8.93576e-08,8.937263031380001e-08,0.01682040900831213
